"PLZ","Abholdatum"
8001,"2020-03-02"
8001,"2020-06-15"
8001,"2020-09-11"
8001,"2020-11-30"
8002,"2020-03-05"
8002,"2020-06-18"
8002,"2020-09-17"
8002,"2020-12-03"
8003,"2020-03-05"
8003,"2020-06-18"
8003,"2020-09-17"
8003,"2020-12-03"
8004,"2020-03-06"
8004,"2020-06-19"
8004,"2020-09-18"
8004,"2020-12-04"
8005,"2020-03-12"
8005,"2020-06-25"
8005,"2020-09-24"
8005,"2020-12-10"
8006,"2020-03-12"
8006,"2020-06-25"
8006,"2020-09-24"
8006,"2020-12-10"
8008,"2020-03-02"
8008,"2020-06-15"
8008,"2020-09-11"
8008,"2020-11-30"
8032,"2020-03-13"
8032,"2020-06-26"
8032,"2020-09-25"
8032,"2020-12-11"
8037,"2020-03-11"
8037,"2020-06-24"
8037,"2020-09-23"
8037,"2020-12-09"
8038,"2020-03-03"
8038,"2020-06-16"
8038,"2020-09-15"
8038,"2020-12-01"
8041,"2020-03-03"
8041,"2020-06-16"
8041,"2020-09-15"
8041,"2020-12-01"
8044,"2020-03-13"
8044,"2020-06-26"
8044,"2020-09-25"
8044,"2020-12-11"
8045,"2020-03-03"
8045,"2020-06-16"
8045,"2020-09-15"
8045,"2020-12-01"
8046,"2020-03-09"
8046,"2020-06-22"
8046,"2020-09-21"
8046,"2020-12-07"
8047,"2020-03-04"
8047,"2020-06-17"
8047,"2020-09-16"
8047,"2020-12-02"
8048,"2020-03-06"
8048,"2020-06-19"
8048,"2020-09-18"
8048,"2020-12-04"
8049,"2020-03-09"
8049,"2020-06-22"
8049,"2020-09-21"
8049,"2020-12-07"
8050,"2020-03-10"
8050,"2020-06-23"
8050,"2020-09-22"
8050,"2020-12-08"
8051,"2020-03-10"
8051,"2020-06-23"
8051,"2020-09-22"
8051,"2020-12-08"
8052,"2020-03-09"
8052,"2020-06-22"
8052,"2020-09-21"
8052,"2020-12-07"
8053,"2020-03-13"
8053,"2020-06-26"
8053,"2020-09-25"
8053,"2020-12-11"
8055,"2020-03-04"
8055,"2020-06-17"
8055,"2020-09-16"
8055,"2020-12-02"
8057,"2020-03-11"
8057,"2020-06-24"
8057,"2020-09-23"
8057,"2020-12-09"
8064,"2020-03-09"
8064,"2020-06-22"
8064,"2020-09-21"
8064,"2020-12-07"

