PLZ,Abholdatum,Tour
8800,2018-01-03,A
8800,2018-01-03,B
8800,2018-01-05,C
8800,2018-01-08,A
8800,2018-01-09,B
8800,2018-01-12,C
8800,2018-01-15,A
8800,2018-01-16,B
8800,2018-01-19,C
8800,2018-01-22,A
8800,2018-01-23,B
8800,2018-01-26,C
8800,2018-01-29,A
8800,2018-01-30,B
8800,2018-02-02,C
8800,2018-02-05,A
8800,2018-02-06,B
8800,2018-02-09,C
8800,2018-02-12,A
8800,2018-02-13,B
8800,2018-02-16,C
8800,2018-02-19,A
8800,2018-02-20,B
8800,2018-02-23,C
8800,2018-02-26,A
8800,2018-02-27,B
8800,2018-03-02,C
8800,2018-03-05,A
8800,2018-03-06,B
8800,2018-03-09,C
8800,2018-03-12,A
8800,2018-03-13,B
8800,2018-03-16,C
8800,2018-03-19,A
8800,2018-03-20,B
8800,2018-03-23,C
8800,2018-03-26,A
8800,2018-03-27,B
8800,2018-04-03,C
8800,2018-04-03,A
8800,2018-04-03,B
8800,2018-04-06,C
8800,2018-04-09,A
8800,2018-04-10,B
8800,2018-04-13,C
8800,2018-04-16,A
8800,2018-04-17,B
8800,2018-04-20,C
8800,2018-04-23,A
8800,2018-04-24,B
8800,2018-04-27,C
8800,2018-04-30,A
8800,2018-05-02,B
8800,2018-05-04,C
8800,2018-05-07,A
8800,2018-05-08,B
8800,2018-05-11,C
8800,2018-05-14,A
8800,2018-05-15,B
8800,2018-05-18,C
8800,2018-05-22,A
8800,2018-05-22,B
8800,2018-05-25,C
8800,2018-05-28,A
8800,2018-05-29,B
8800,2018-06-01,C
8800,2018-06-04,A
8800,2018-06-05,B
8800,2018-06-08,C
8800,2018-06-11,A
8800,2018-06-12,B
8800,2018-06-15,C
8800,2018-06-18,A
8800,2018-06-19,B
8800,2018-06-22,C
8800,2018-06-25,A
8800,2018-06-26,B
8800,2018-06-29,C
8800,2018-07-02,A
8800,2018-07-03,B
8800,2018-07-06,C
8800,2018-07-09,A
8800,2018-07-10,B
8800,2018-07-13,C
8800,2018-07-16,A
8800,2018-07-17,B
8800,2018-07-20,C
8800,2018-07-23,A
8800,2018-07-24,B
8800,2018-07-27,C
8800,2018-07-30,A
8800,2018-07-31,B
8800,2018-08-03,C
8800,2018-08-06,A
8800,2018-08-07,B
8800,2018-08-10,C
8800,2018-08-13,A
8800,2018-08-14,B
8800,2018-08-17,C
8800,2018-08-20,A
8800,2018-08-21,B
8800,2018-08-24,C
8800,2018-08-27,A
8800,2018-08-28,B
8800,2018-08-31,C
8800,2018-09-03,A
8800,2018-09-04,B
8800,2018-09-07,C
8800,2018-09-10,A
8800,2018-09-11,B
8800,2018-09-14,C
8800,2018-09-17,A
8800,2018-09-18,B
8800,2018-09-21,C
8800,2018-09-24,A
8800,2018-09-25,B
8800,2018-09-28,C
8800,2018-10-01,A
8800,2018-10-02,B
8800,2018-10-05,C
8800,2018-10-08,A
8800,2018-10-09,B
8800,2018-10-12,C
8800,2018-10-15,A
8800,2018-10-16,B
8800,2018-10-19,C
8800,2018-10-22,A
8800,2018-10-23,B
8800,2018-10-26,C
8800,2018-10-29,A
8800,2018-10-30,B
8800,2018-11-02,C
8800,2018-11-05,A
8800,2018-11-06,B
8800,2018-11-09,C
8800,2018-11-12,A
8800,2018-11-13,B
8800,2018-11-16,C
8800,2018-11-19,A
8800,2018-11-20,B
8800,2018-11-23,C
8800,2018-11-26,A
8800,2018-11-27,B
8800,2018-11-30,C
8800,2018-12-03,A
8800,2018-12-04,B
8800,2018-12-07,C
8800,2018-12-10,A
8800,2018-12-11,B
8800,2018-12-14,C
8800,2018-12-17,A
8800,2018-12-18,B
8800,2018-12-21,C
8800,2018-12-24,A
8800,2018-12-27,B
8800,2018-12-28,C
8800,2018-12-31,A
