"PLZ";"Station";"Abholdatum"
8001;"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht";"Mo, 17. August 2015"
8002;"Gotthardstrasse / Tessinerplatz";"Di, 1. September 2015"
8003;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 30. September 2015"
8003;"Gotthardstrasse / Tessinerplatz";"Di, 1. September 2015"
8003;"Helvetiaplatz";"Mo, 28. September 2015"
8003;"Uetlibergstrasse 134";"Mi, 2. September 2015"
8003;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 3. September 2015"
8004;"Helvetiaplatz";"Mo, 28. September 2015"
8005;"Röntgenplatz";"Sa, 5. September 2015"
8006;"Rigiplatz";"Fr, 2. Oktober 2015"
8008;"Seefeldstrasse 152 / Wertstoff-Sammelstelle";"Di, 15. September 2015"
8032;"Merkurplatz: Minervastrasse / Merkurstrasse";"Do, 20. August 2015"
8037;"Röschibachplatz / Röschibachstrasse 79";"Mi, 16. September 2015"
8038;"Etzelstrasse / Mutschellenstrasse, Wertstoff-Sammelstelle";"Do, 17. September 2015"
8041;"Leimbachstrasse 160 / Klebestrasse, Wertstoff-Sammelstelle";"Mo, 31. August 2015"
8044;"Tramhaltestelle Kirche Fluntern / Zürichbergstrasse 75";"Mi, 19. August 2015"
8045;"Uetlibergstrasse 134";"Mi, 2. September 2015"
8046;"Wehntalerstrasse 539 beim Zehntenhausplatz";"Sa, 3. Oktober 2015"
8047;"Alte evangelische Kirche / Triemlistrasse 2";"Mi, 30. September 2015"
8048;"Lindenplatz";"Di, 18. August 2015"
8048;"Lindenplatz";"Di, 29. September 2015"
8049;"Limmattalstrasse 227-229";"Fr, 4. September 2015"
8049;"Limmattalstrasse 227-229";"Sa, 19. September 2015"
8050;"Marktplatz Oerlikon";"Fr, 18. September 2015"
8051;"Schwamendingerplatz";"Mo, 14. September 2015"
8052;"Tramhaltestelle Seebach / Schaffhauserstrasse 501";"Sa, 22. August 2015"
8053;"Witikonerstrasse 390, Parkplatz";"Fr, 21. August 2015"
8055;"Wasserschöpfi / Küngenmatt (Bad Heuried)";"Do, 3. September 2015"
8057;"Milchbuckstrasse 2 / Tramhaltestelle Guggachstrasse";"Do, 1. Oktober 2015"
8064;"Tramhaltestelle Werdhölzli, im Recyclinghof";"Do, 27. August 2015"
