"PLZ";"Station";"Abholdatum"
8001;"Burgwies";"Di, 7. Januar 2014"
8001;"Burgwies";"Di, 4. Februar 2014"
8001;"Burgwies";"Di, 4. März 2014"
8001;"Burgwies";"Di, 1. April 2014"
8001;"Burgwies";"Di, 29. April 2014"
8001;"Burgwies";"Di, 6. Mai 2014"
8001;"Burgwies";"Di, 3. Juni 2014"
8001;"Burgwies";"Di, 1. Juli 2014"
8001;"Burgwies";"Di, 19. August 2014"
8001;"Burgwies";"Di, 16. September 2014"
8001;"Burgwies";"Di, 14. Oktober 2014"
8001;"Burgwies";"Di, 11. November 2014"
8001;"Burgwies";"Di, 9. Dezember 2014"
8001;"Tramdepot Hard";"Sa, 25. Januar 2014"
8001;"Tramdepot Hard";"Sa, 22. Februar 2014"
8001;"Tramdepot Hard";"Sa, 22. März 2014"
8001;"Tramdepot Hard";"Sa, 26. April 2014"
8001;"Tramdepot Hard";"Sa, 24. Mai 2014"
8001;"Tramdepot Hard";"Sa, 28. Juni 2014"
8001;"Tramdepot Hard";"Sa, 23. August 2014"
8001;"Tramdepot Hard";"Sa, 27. September 2014"
8001;"Tramdepot Hard";"Sa, 25. Oktober 2014"
8001;"Tramdepot Hard";"Sa, 22. November 2014"
8001;"Tramdepot Hard";"Sa, 20. Dezember 2014"
8001;"Tramdepot Universität Irchel";"Fr, 24. Januar 2014"
8001;"Tramdepot Universität Irchel";"Fr, 21. Februar 2014"
8001;"Tramdepot Universität Irchel";"Fr, 21. März 2014"
8001;"Tramdepot Universität Irchel";"Fr, 25. April 2014"
8001;"Tramdepot Universität Irchel";"Fr, 16. Mai 2014"
8001;"Tramdepot Universität Irchel";"Fr, 13. Juni 2014"
8001;"Tramdepot Universität Irchel";"Fr, 11. Juli 2014"
8001;"Tramdepot Universität Irchel";"Fr, 22. August 2014"
8001;"Tramdepot Universität Irchel";"Fr, 19. September 2014"
8001;"Tramdepot Universität Irchel";"Fr, 10. Oktober 2014"
8001;"Tramdepot Universität Irchel";"Fr, 7. November 2014"
8001;"Tramdepot Universität Irchel";"Fr, 12. Dezember 2014"
8002;"Strassenverkehrsamt";"Fr, 10. Januar 2014"
8002;"Strassenverkehrsamt";"Fr, 7. Februar 2014"
8002;"Strassenverkehrsamt";"Fr, 7. März 2014"
8002;"Strassenverkehrsamt";"Fr, 4. April 2014"
8002;"Strassenverkehrsamt";"Fr, 2. Mai 2014"
8002;"Strassenverkehrsamt";"Fr, 6. Juni 2014"
8002;"Strassenverkehrsamt";"Fr, 4. Juli 2014"
8002;"Strassenverkehrsamt";"Fr, 5. September 2014"
