gemeinde,gebiets_id,gebietsbezeichnung,sammlung,sammlung_id,datum,startzeitpunkt,zeit,titel,strasse,pdf
St. Gallen,D,Rotmonten,Altmetall,D-Altmetall,2021-09-30,2021-09-30T07:00:00+02:00,ab 7.00 Uhr,Altmetallsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Karton,D-Karton,2021-08-11,2021-08-11T08:00:00+02:00,ab 8.00 Uhr,Kartonsammlung ab 8.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Papier,D-Papier,2021-08-25,2021-08-25T08:00:00+02:00,ab 8.00 Uhr,Papiersammlung ab 8.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Altmetall,D-Altmetall,2022-04-28,2022-04-28T07:00:00+02:00,ab 7.00 Uhr,Altmetallsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Karton,D-Karton,2021-09-08,2021-09-08T08:00:00+02:00,ab 8.00 Uhr,Kartonsammlung ab 8.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Grüngut,D-Grüngut,2021-07-20,2021-07-20T07:00:00+02:00,ab 7.00 Uhr,Grüngutsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Papier,D-Papier,2021-10-20,2021-10-20T08:00:00+02:00,ab 8.00 Uhr,Papiersammlung ab 8.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Papier,D-Papier,2021-11-17,2021-11-17T08:00:00+01:00,ab 8.00 Uhr,Papiersammlung ab 8.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Kehricht,D-Kehricht,2021-08-03,2021-08-03T07:00:00+02:00,ab 7.00 Uhr,Kehrichtsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Papier,D-Papier,2021-12-15,2021-12-15T08:00:00+01:00,ab 8.00 Uhr,Papiersammlung ab 8.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Karton,D-Karton,2022-01-26,2022-01-26T08:00:00+01:00,ab 8.00 Uhr,Kartonsammlung ab 8.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Kehricht,D-Kehricht,2021-09-21,2021-09-21T07:00:00+02:00,ab 7.00 Uhr,Kehrichtsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Grüngut,D-Grüngut,2021-10-19,2021-10-19T07:00:00+02:00,ab 7.00 Uhr,Grüngutsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Kehricht,D-Kehricht,2021-12-07,2021-12-07T07:00:00+01:00,ab 7.00 Uhr,Kehrichtsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Grüngut,D-Grüngut,2022-01-25,2022-01-25T07:00:00+01:00,ab 7.00 Uhr,Grüngutsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
St. Gallen,D,Rotmonten,Kehricht,D-Kehricht,2022-02-15,2022-02-15T07:00:00+01:00,ab 7.00 Uhr,Kehrichtsammlung ab 7.00 Uhr,Adlerbergstrasse;Apfelbergweg;Ebenalpstrasse;Goethestrasse;Holzstrasse;Iddastrasse;Primelweg;Scheitlinstrasse;Schoeckstrasse;Schubertweg;Tannenstrasse;Wartensteinstrasse;Glärnischstrasse;Hasenwiesweg;Hirtenstrasse;Höflistrasse;Klosterweidlistrasse 9-29;Langackerstrasse;Leimatstrasse;Maderstrasse;Obere Engelaustrasse;Oberer Leimatweg;Rehweidstrasse;Sandrainstrasse;Schlatterstrasse;Tanneichenstrasse;Berghaldenstrasse;Eichenstrasse;Engelaustrasse;Gerhaldenstrasse;Hirtenweg;Lienertstrasse;Mittlerer Hompeliweg;Müller-Friedberg-Strasse;Myrtenstrasse;Rilkestrasse;Sonnenhaldenstrasse;Strebelstrasse;Tanneichenweg;Waldgutstrasse;Waldrainstrasse;Wartmannstrasse;Asternweg;Dahlienstrasse;Dianastrasse;Dufourstrasse 1-37;Girtannerweg;Guisanstrasse 49-95;Heinestrasse;Heusserstrasse;Hölderlinstrasse;Kauffmannstrasse;Kirchlistrasse;Lessingstrasse;Oberer Kirchliweg;Resedastrasse;Seeblickstrasse;Steinbockstrasse;Unterer Hompeliweg;Baumgartenstrasse;Berghaldenplatz;Böcklinstrasse;Federerstrasse;Fliederstrasse;Girtannerstrasse;Herderstrasse;Hompelistrasse;Ludwigstrasse;Peter-und-Paul-Strasse;Schubertstrasse;Unterer Kirchliweg;Waldstrasse,https://www2.stadt.sg.ch/od/Web_Abfuhrkalender_D_2021.pdf
